publication, user, type, topic, publication_description, quality, num_likes, num_comments, num_share, date, users_tagged
0,389,Image,Sports,Kid watching champions league on mobile phone,0.5325483865262909,9,2,1,0,5
1,747,Video,Music Artist,Driving a car with music,0.18400059615819075,0,0,0,0,3
2,906,Text,Sports,Kid playing tennis,0.25995937545323045,0,0,0,0,3
3,565,Image,Drink Brand,Beer competition,0.9382229690499526,29,10,10,0,6
4,910,Text,Animals,Human playing with his dog,0.3831582123266334,0,0,0,0,7
5,725,Image,Animals,Dog with glasses and smiling,0.840162061405611,4,0,0,0,6
6,341,Image,TV show,Black Batman costume,0.047881760161393894,0,0,0,0,6
7,890,Text,Music Artist,Driving a car with music,0.8691026360791342,3,1,1,0,7
8,817,Text,TV show,Kid watching Better Call Saul,0.14462054330166518,0,0,0,0,8
9,46,Video,Computer games,Play store menu,0.9720537212251957,15,6,4,0,6
10,32,Text,Animals,Turtle eating,0.2032344977537509,0,0,0,0,6
11,930,Text,News and present,The US Capitol riots,0.3348172353382983,0,0,0,0,8
12,688,Video,Sports,Family running on the beach,0.27714332573761924,1,1,1,0,1
13,296,Video,Music Artist,Boy and girl dancing,0.11887788285309997,0,0,0,0,4
14,185,Image,TV show,Dog watching the TV,0.2815402940438345,2,0,0,1,5
15,859,Image,Animals,Human touching a parrot,0.73654583894347,13,4,3,1,6
16,496,Text,Music Artist,Listening queen on the bed,0.76217482127807,5,3,2,1,6
17,52,Image,News and present,The GameStop short squeeze,0.2836133797066003,1,0,0,1,2
18,461,Image,Sports,Family running on the beach,0.7499731621111306,15,6,3,2,7
19,357,Text,Animals,Elephant walking,0.12825034416875125,0,0,0,2,6
20,809,Video,Music Artist,Elvis Presley show,0.8086003156954369,10,2,2,2,1
21,521,Text,Food,Family eating lasagne,0.6305560520675804,9,4,4,2,9
22,261,Video,TV show,Breaking bad scene,0.7717667996417783,15,7,5,2,8
23,408,Image,TV show,The Great British Baking Show,0.4603794938038558,8,2,2,2,2
24,960,Image,Music Artist,Eminem singing on NFL,0.4344877566880526,1,1,1,2,2
25,193,Image,Computer games,Play store menu,0.9592296710590232,25,11,9,2,2
26,568,Video,Food,Oven cleaning,0.293614793734553,1,0,0,2,8
27,202,Video,Computer games,League of legends game,0.24152189108048205,2,0,0,2,3
28,861,Text,Sports,Playing paddle,0.48578693810394147,4,2,1,2,2
29,207,Image,Music Artist,Driving a car with music,0.48974619683126264,5,2,2,2,3
30,633,Image,TV show,Kid watching Better Call Saul,0.7535906889358498,17,5,3,2,8
31,305,Image,Animals,Human touching a parrot,0.3977936052026966,3,0,0,2,3
32,148,Image,Animals,Book of 100 animals,0.03145540423118365,1,0,0,2,7
33,371,Image,Animals,Turtle eating,0.9092144113325767,18,5,4,2,7
34,704,Video,TV show,Family going to the cinema,0.7728777859613635,10,2,2,2,7
