user,publication,score
0,0,[0.17635661628041616, 0.0]
0,1,[0.23295337377010217, 0.0]
0,2,[0.23290542606708198, 0.0]
0,4,[0.17798906045588125, 0.0]
0,516,[0.23884092700950432, 0.0]
0,5,[0.20251915760173145, 0.0]
0,517,[0.16348987807320597, 0.0]
0,6,[0.12409640250951305, 0.0]
0,7,[0.19033135761654385, 0.0]
0,8,[0.19610652507095488, 0.0]
0,9,[0.18678581248968446, 0.0]
0,10,[0.1780787699490065, 0.0]
0,11,[0.25545436227977525, 0.0]
0,12,[0.18586939990643042, 0.0]
0,13,[0.24428018126145418, 0.0]
0,15,[0.22837957891478256, 0.0]
0,16,[0.27160098608638944, 0.0]
0,17,[0.19862656563651798, 0.0]
0,22,[0.22494612296013727, 0.0]
0,23,[0.14867220707718232, 0.0]
0,26,[0.15400737181176014, 0.0]
0,541,[0.14047703622016283, 0.0]
0,30,[0.17145351311409143, 0.0]
0,542,[0.24212468655437613, 0.0]
0,31,[0.22906953639131847, 0.0]
0,32,[0.12057087876921628, 0.0]
0,544,[0.181879567681961, 0.0]
0,33,[0.19885016862259502, 0.0]
0,35,[0.09005175089739811, 0.0]
0,36,[0.20372742462084698, 0.0]
0,38,[0.18995881819929045, 0.0]
0,39,[0.12590752629368232, 0.0]
0,40,[0.1836658016969629, 0.0]
0,41,[0.19606653328981133, 0.0]
0,42,[0.20580250956838975, 0.0]
0,43,[0.17464900307004144, 0.0]
0,44,[0.1962658779529058, 0.0]
0,45,[0.1556508571627889, 0.0]
0,46,[0.17073837036762743, 0.0]
0,47,[0.1593019537191691, 0.0]
0,48,[0.193849337722515, 0.0]
0,49,[0.18558167282232851, 0.0]
0,60,[0.12911287365736032, 0.0]
0,61,[0.08222259401883743, 0.0]
0,75,[0.2508107189598943, 0.0]
0,76,[0.19611421505784243, 0.0]
0,77,[0.23600167266718927, 0.0]
0,78,[0.2229613658069542, 0.0]
0,590,[0.16190845602689852, 0.0]
0,79,[0.2141390449565661, 0.0]
0,591,[0.08927951015552366, 0.0]
0,80,[0.23891090084087274, 0.0]
0,83,[0.2319143413553023, 0.0]
0,84,[0.11976801363536921, 0.0]
0,85,[0.2379940970265412, 0.0]
0,86,[0.20312582352573033, 0.0]
0,1110,[0.23982012275795633, 0.0]
0,87,[0.16761768299925617, 0.0]
0,1111,[0.23392111177222694, 0.0]
0,89,[0.23217658834783042, 0.0]
