publication,user Tagged
0,387
0,879
0,195
0,701
0,197
1,615
1,194
1,84
2,31
2,937
2,281
3,386
3,688
3,817
3,96
3,65
3,634
4,660
4,754
4,289
4,336
4,879
4,912
4,674
5,411
5,223
5,693
5,600
5,509
5,900
6,333
6,366
6,371
6,338
6,587
6,456
7,593
7,756
7,14
7,712
7,162
7,682
7,944
8,348
8,347
8,79
8,755
8,827
8,29
8,8
8,849
9,1
9,31
9,9
9,600
9,263
9,657
10,102
10,55
10,63
10,104
10,37
10,750
11,213
11,900
11,641
11,281
11,799
11,666
11,418
11,446
12,192
13,413
13,160
13,176
13,300
14,562
14,141
14,156
14,52
14,687
15,266
15,863
15,506
15,860
15,704
15,268
16,522
16,494
16,920
16,309
16,170
16,274
17,454
17,32
18,438
18,320
18,260
18,633
18,695
18,274
18,383
19,789
19,10
19,355
19,949
19,494
19,603
20,528
21,29
21,297
21,114
21,172
21,75
21,333
21,210
21,588
21,127
22,284
22,267
22,165
22,11
22,392
22,533
22,288
22,674
23,285
23,875
24,579
24,334
25,571
25,74
26,4
26,631
26,756
26,627
26,842
26,952
26,170
26,593
27,169
27,192
27,812
28,393
28,737
29,84
29,51
29,109
30,45
30,164
30,301
30,728
30,690
30,910
30,811
30,948
31,299
31,289
31,208
32,397
32,155
32,655
32,881
32,20
32,177
32,179
33,50
33,351
33,524
33,845
33,223
33,793
33,367
34,423
34,525
34,626
34,954
34,404
34,521
34,962
35,74
35,70
35,449
36,264
36,698
36,879
36,913
37,761
37,31
37,265
37,403
37,417
37,577
38,680
38,799
38,781
38,422
38,641
38,281
39,187
40,695
40,338
40,443
41,98
41,151
41,39
41,504
41,941
41,28
41,26
42,502
42,156
43,751
43,700
43,561
43,803
43,785
44,22
44,693
44,819
44,767
44,327
44,689
44,253
44,699
45,80
45,86
45,190
45,670
45,845
45,24
46,319
46,811
46,879
46,889
47,820
47,593
47,335
47,646
47,688
47,376
47,985
47,578
47,823
48,183
48,56
48,803
49,343
49,87
49,52
49,242
49,1
50,687
50,269
50,271
50,609
50,17
50,462
50,65
51,762
51,447
52,611
52,701
52,762
52,200
52,256
52,455
52,686
52,629
53,126
53,594
53,252
53,593
53,547
53,56
53,290
53,657
54,970
55,539
55,322
55,20
55,104
55,78
55,0
55,949
56,275
56,458
56,548
56,798
56,21
56,160
58,943
58,287
58,318
58,908
58,131
58,784
58,757
59,406
59,592
59,354
59,368
59,888
59,810
59,597
60,502
61,438
61,141
61,531
61,204
61,95
61,194
61,767
62,662
62,931
62,548
63,250
63,214
63,548
63,781
63,534
63,969
63,625
63,47
63,159
63,544
64,409
64,287
64,160
64,101
64,259
64,33
65,651
65,282
65,284
65,656
65,784
65,629
66,638
66,979
66,729
66,913
67,210
67,266
68,784
68,761
68,400
68,796
68,47
68,800
68,160
69,908
69,626
69,418
69,687
69,750
69,907
69,293
69,948
69,150
70,185
70,200
70,161
71,683
71,85
71,567
71,536
71,626
71,693
72,950
72,536
72,630
72,517
72,192
73,583
73,722
73,517
74,768
74,273
74,364
74,340
75,877
75,727
75,34
75,349
75,229
75,277
77,248
77,62
77,50
77,181
77,609
77,798
77,116
77,126
78,274
78,459
78,756
78,375
79,613
79,801
80,6
80,619
80,536
80,11
80,500
80,79
80,625
81,889
81,864
81,884
81,110
81,66
81,7
81,691
81,938
81,0
82,16
82,864
82,125
82,974
82,957
82,517
83,658
83,158
83,112
83,799
83,925
83,288
83,519
83,157
83,107
85,670
85,948
85,564
85,823
85,115
85,18
85,554
85,958
85,757
85,834
86,332
86,336
86,706
86,127
87,275
87,268
87,775
87,492
87,281
87,361
87,278
87,10
87,592
88,687
88,162
88,93
88,250
88,563
88,450
88,445
88,210
88,230
89,4
89,39
89,182
89,101
89,218
90,610
91,563
91,300
91,818
91,438
91,314
91,468
91,821
91,386
92,990
92,13
92,981
92,310
92,880
92,156
92,355
92,466
92,949
92,447
93,414
93,992
93,298
94,604
94,540
94,634
94,946
95,906
95,875
95,254
95,340
95,754
95,510
95,251
95,300
95,156
96,232
97,285
97,517
98,137
99,128
99,957
99,507
99,196
99,562
99,316
99,720
100,268
100,878
100,977
100,194
100,380
100,46
101,457
101,818
101,850
102,588
102,11
102,64
102,518
102,132
102,62
102,298
102,212
102,227
102,315
103,153
103,45
103,657
103,112
105,242
105,982
105,796
105,828
105,479
106,776
107,426
107,989
107,143
107,448
107,626
108,777
108,968
108,623
108,774
108,526
108,798
109,442
109,229
109,388
109,480
109,230
109,235
109,938
109,441
109,246
110,913
110,274
110,44
110,469
111,125
111,625
112,348
112,336
112,147
112,647
112,211
112,164
112,457
113,380
113,241
113,76
113,341
114,164
114,86
114,4
114,258
114,40
114,0
115,157
115,908
115,315
115,659
115,536
115,893
116,269
116,95
116,292
116,795
116,8
117,445
117,109
117,259
117,767
117,391
117,31
117,775
117,329
117,781
118,59
118,61
118,301
119,431
119,903
119,684
119,528
119,393
119,887
120,569
120,399
120,15
120,893
120,508
120,762
120,837
120,610
121,287
122,514
123,229
123,9
124,29
124,155
125,450
125,164
126,357
126,533
126,724
126,37
126,541
126,104
126,410
126,232
126,21
127,573
127,32
127,283
127,209
127,814
128,315
128,297
128,69
128,318
128,853
128,76
128,62
129,8
129,292
129,851
129,879
129,719
129,12
129,762
131,275
131,267
131,807
131,150
131,459
131,337
131,580
132,254
132,262
132,891
132,824
132,480
132,339
132,820
132,419
133,527
133,667
133,321
133,31
133,237
133,777
133,711
133,330
134,448
135,50
136,511
136,393
136,856
136,169
136,539
136,196
136,383
136,60
137,196
137,70
138,859
138,577
138,581
138,338
138,671
139,458
139,678
139,171
139,32
139,887
139,163
139,628
140,275
140,932
140,336
140,517
140,180
140,280
141,666
141,24
141,143
141,627
142,951
142,985
142,931
142,478
142,218
142,95
142,591
144,813
144,863
144,316
144,964
144,394
144,337
145,774
145,62
145,515
146,225
146,754
146,102
146,355
146,316
146,287
147,164
147,502
147,236
147,557
147,675
148,36
148,505
148,541
149,82
150,262
150,705
150,609
150,766
151,568
151,2
151,10
151,131
152,199
153,94
153,69
153,112
153,506
153,534
153,183
153,599
153,302
153,773
154,739
154,531
154,652
154,924
154,172
154,47
154,459
154,910
155,67
155,328
155,222
155,317
155,415
155,596
156,801
156,500
156,251
156,217
156,760
156,529
156,782
157,653
157,258
157,822
157,842
158,689
158,562
158,422
161,877
161,586
161,846
161,305
161,810
161,792
162,39
162,296
162,300
162,22
162,309
162,51
162,919
